text,true,pred
basware ceo ilkka sihvo comment conjunction interim report whole basware succeeded well second quarter,positive,neutral
citigroup inc nyse c ha announced global transaction service gts business ha awarded new mandate pohjola bank group,positive,neutral
finnish consulting engineering group poyry plc omx helsinki poy said wednesday october ha awarded contract tanqia dibba fzc wastewater system dibba emirate fujairah uae,positive,neutral
however broker gave outperform recommendation stock,positive,neutral
last year sysopen digia invested ibm product building portal trading place system successfully implemented customer solution supported,positive,neutral
savon koulutuskuntayhtyma finland based company ha awarded contract specialist agricultural forestry machinery,positive,neutral
skf april alandsbanken ha given buy recommendation swedish industrial company skf ab sto skf b share price target,positive,neutral
sport equipment sale also progressed well owing prolonged winter season,positive,neutral
acquisition immediate positive impact aspocomp financial result,positive,neutral
company also said poland profitability program ha launched oborniki steel frame sandwich panel plant,positive,neutral
group also ha strong global position fishing category,positive,neutral
original name componenta subsidiary finnish componenta group ha changed component company ha seen growth comparison,positive,neutral
upgraded underperform goldman sachs,positive,neutral
demand sport equipment wa good,positive,neutral
finnish airline finnair ha deal uk public sector official airline flight london heathrow osaka japan well flight manchester uk helsinki finland,positive,neutral
cargotec germany gmbh ha awarded contract stadtverwaltung mainz chassis body open procedure,positive,neutral
finnish construction group lemminkainen oyj hel said today ha contract provide technical service nevsky centre shopping mall opened november st petersburg russia,positive,neutral
finnish software developer basware oyj said november subsidiary basware order provide software contract lifecycle management unnamed medical technology company,positive,neutral
however sale volume food industry expected remain relatively good level finland scandinavia atrium said,positive,neutral
nordea see return positive growth baltic country,positive,neutral
thanks multiplying effect wagon performance transport much efficient say development manager juha malkia vr cargo,positive,neutral
sale result gain eur million second quarter support finnish company strategy focus pharmaceutical wholesale retail operation,positive,neutral
turun kaupunkin finland based company ha awarded contract lemminkainen talotekniikka oy electrical installation work,positive,neutral
moderate significant change resulted significant reduction estimated cvd risk,positive,neutral
eur million expense recorded third quarter,neutral,positive
jp morgan expects scala lower nobel biocare growth forecast current guidance pct well operating margin target current pct,negative,positive
furthermore sale new passenger car light commercial vehicle country declined last month,negative,neutral
profitability ebit wa compared,negative,positive
company make marketing sale investment initiated even efficient,positive,neutral
pleased effort negotiating team look forward productive four year ahead,positive,neutral
outotec oyj press release february outotec ha two large mineral processing technology order mirabela mineracao brasil ltda brazil cumerio med jsco bulgaria,positive,neutral
raute said ha order worth around mln eur supply several plywood production line mill operated russian wood product company sveza group,positive,neutral
brokerage said ha seen true turning point european steel base price better pricing seen carrying second quarter,positive,neutral
location make mall convenient place shop consumer three large residential area nearby jaroszowka wysockiego zgody,positive,neutral
lining stone sale also good early autumn order book strong end year,positive,neutral
vessel order help aspo secure competitiveness fleet term technology pricing,positive,neutral
vaahto pulp paper finnish vaahto group ha awarded order renovate forest industry company stora enso paperboard machine ingerois board mill finland,positive,neutral
combining two producer create strong fertilizer industry capable meeting global competition added,positive,neutral
mika stahlberg vp lab said excited proud ha recognized product year,positive,neutral
policy wa also aimed making company profitable competitive,positive,neutral
share royal sun alliance continued slide back high last month potential suitor ruled takeover bid,negative,positive
managing director comment net sale first quarter notably lower year especially finland russia baltic country,negative,neutral
finnish oko bank ha signed cooperation agreement raiffeisen concerning finnish company investment russia,positive,neutral
cooper sh uk distributor lift equipment manufacturer konecranes deal involves low maintenance fuel saving technology,positive,neutral
reporting period biotie north american licensing partner somaxon pharmaceutical announced positive result nalmefene pilot phase clinical trial smoking cessation,positive,neutral
significant milestone benefon helping u secure critical usp personal navigation product roadmap beyond commented simon button chief technology officer benefon,positive,neutral
investor continue interested company share although quite cheap affarsvarlden said,positive,neutral
market expecting poor performance company stock wa percent u early afternoon trading helsinki,positive,neutral
adp news feb finnish retailer kesko oyj hel kesbv said today total sale excluding value added tax vat stood eur million usd january,negative,positive
according pkc acquisition would bring significant addition pkc customer base,positive,neutral
fiskars global business best known scissors expects derive synergy million year consolidating certain part housewares division two compete,positive,neutral
india trade russia currently stand four billion dollar growing per cent fiscal,positive,neutral
price raw material aluminium went end company considers outlook favourable,positive,neutral
viking line manages well current ferry,positive,neutral
recommendable nokian z according adac judgement latest summer tyre test german automobile association adac,positive,neutral
finnish vacon ha signed significant deal norwegian scandinavian electric system supply ac drive,positive,neutral
tietoenator expanding business quickly russia,positive,neutral
head mobility service teliasonera ha forecast mobile data volume teliasonera network sweden rise tb,positive,neutral
finnish elevator escalator maker kone corporation said tuesday march ha received major order sir robert mcalpine supply elevator escalator watermark place project city london,positive,neutral
end number outlet rise,positive,neutral
incap contract manufacturing service private limited ha inked agreement six new customer india,positive,neutral
also strengthen ruukki offshore business,positive,neutral
unveils indian jv ivrcl finnish chemical group kemira hel tuesday announced ha inked deal form joint venture india local construction firm ivrcl infrastructure project ltd bom,positive,neutral
previously eb delivered custom solution lg electronics making commercially available mobile terminal vendor well wireless operator,positive,neutral
back pet bottle ha also steadily increased rate use strapping tape ha picked dip petcore said previously,positive,neutral
systeemitiimi sale project resource also strengthened director paul skogberg said,positive,neutral
company well positioned brazil uruguay,positive,neutral
soapstone deposit medvezhyegorsk area expected increase tulikivi current reserve considerably,positive,neutral
via move company aim annual saving main part expected realized year,positive,neutral
cargotec corporation press release august finnish time cargotec macgregor business area providing marine cargo handling offshore load handling solution ha received significant offshore crane retrofit order,positive,neutral
therefore seems finnish shipping company viking line get subsidy need order new vessel,positive,neutral
jarmo honkamaa head oil refining business neste oil say situation look promising viewpoint,positive,neutral
mformation nokia noted established interoperability agreement cover commercially proven management mobile device well mobile device security mobile application management,positive,neutral
russian export duty activate harvesting finland sale russia increase also,positive,neutral
optimization steel component heating process reduce energy consumption,positive,neutral
new partnership agreement represents significant milestone party,positive,neutral
tiimari latvian representative ineta zaharova said company earned lvl profit time,positive,neutral
earnings per share eps amounted,neutral,positive
total restructuring cost expected eur eur mn wa booked december,neutral,positive
cash flow operating activity investment wa eur million eur million,neutral,positive
profit tax wa eur million,neutral,positive
group cumulative sale review period eur million eur million profit tax wa eur million,neutral,positive
group sale period eur million eur million profit tax wa eur million,neutral,positive
profit tax wa eur million,neutral,positive
item eur profit amounted eur,neutral,positive
boomerang boat net sale eur mn made operating profit eur mn,neutral,positive
combined net sale million ebitda wa million,neutral,positive
elcoteq expects net sale last quarter level third quarter,neutral,positive
eq bank forecast olvi net sale eur second quarter operating profit eur mn,neutral,positive
eur mn wa net interest income,neutral,positive
net profit wa eur million company paid dividend eur apiece,neutral,positive
net profit wa company paid dividend apiece,neutral,positive
group net sale third quarter totaled eur mn operating profit eur mn,neutral,positive
group net sale stood eur million employee,neutral,positive
avc systemhaus net sale eur million usd,neutral,positive
scanfil net sale totalled eur mn operating profit eur mn,neutral,positive
first quarter sacanfil net sale totalled eur mn operating profit eur mn,neutral,positive
third quarter net sale totaled eur mn operating profit eur mn,neutral,positive
estimated consolidated turnover kausta guder reach lt u mn eur mn,neutral,positive
posted turnover mln euro mln operating profit mln euro mln,neutral,positive
operating profit operation finland period review totaled eur mn remaining level,neutral,positive
profit tax totaled eur mn,neutral,positive
tekla group net sale approximately million euro operating result million euro,neutral,positive
combined company net sale mln euro mln operating profit mln euro mln,neutral,positive
company expects net sale whole eur mn,neutral,positive
company net sale eur mn profit eur mn,neutral,positive
company reported net sale mln euro mln operating margin pct,neutral,positive
divested activity net sale eur million operating profit eur million,neutral,positive
group posted net sale mln euro mln operating profit euro mln,neutral,positive
group net sale,neutral,positive
group turnover wa eur million operating profit wa eur million,neutral,positive
net sale healthcare trade business eur million eur million operating profit eur million eur million,neutral,positive
valmet automotive report net sale eur operating profit eur,neutral,positive
third quarter fiscal efore swung net loss eur versus net profit eur corresponding period fiscal,negative,positive
production level agreed producer long time ago fall consumption lead loss,negative,neutral
return investment roi wa compared first half,negative,positive
total mn passenger ship journey took place northern baltic sea slightly mn,negative,neutral
finland city forssa ha said pay compensation food industry company hk ruokatalo atrium lye leak tap water occurred march,negative,neutral
acando ab acanb fell percent kronor lowest close since,negative,neutral
according ceo matti perkonoja parent company hkscan company performance first quarter ha remained clearly level corresponding period,negative,positive
diluted earnings per share eps stood eur versus eur,negative,positive
finnish technology company raute corporation omx helsinki rutav issued tuesday september profit warning financial year,negative,neutral
last year million passenger flew airline percent,negative,positive
operating loss pulp paper machinery unit wa eur september august compared profit eur mn year earlier,negative,positive
operating loss totalled eur mn compared loss eur mn corresponding period,negative,positive
pretax loss totaled eur compared loss eur corresponding period,negative,positive
pretax loss totalled eur mn compared loss eur mn corresponding period,negative,positive
company reported today operating loss net sale first quarter,negative,positive
cerberus capital management printing paper maker newpage ha posted mixed result casting cloud planned initial public offering,negative,neutral
finnish electronics manufacturing service em company elcoteq se posted net loss mln euro mln first half compared net profit mln euro mln period,negative,positive
finnish retail software developer aldata solution oyj reported net loss mln euro mln versus net profit mln euro mln,negative,positive
finnish textile clothing group marimekko oyj posted net profit mln euro mln compared mln euro mln,negative,positive
diluted loss per share stood versus first half,negative,positive
october upm reported net loss million million compared net profit million,negative,positive
operating profit margin wa compared year earlier,negative,positive
operating profit wa eur mn compared eur mn,negative,positive
operating result showed loss eur mn year showed profit eur mn,negative,positive
salcomp oyj finnish maker mobile phone charger monday posted million loss second quarter compared million profit period previous year,negative,positive
real estate company posted net loss million per share compared net profit million per share corresponding quarter,negative,positive
tietoenator wa pct extending recent low last week report dealer said,negative,neutral
china based operation enable u fully leverage resource expertise wireless solution also strengthen capability offer product customer china,positive,neutral
finnish energy company fortum oyj said november wa granted environmental permit build combined heat power chp plant vartan harbor eastern stockholm,positive,neutral
thus method cut working cost fasten planning building process,positive,neutral
agreement expired earlier month,neutral,positive
beer differ slightly mainstream beer,neutral,positive
uncertainty cloud outlook,negative,neutral
october finnish environmental management company lassila tikanoja oyj hel l said monday expects operating profit excluding item whole slightly lower,negative,positive
according finnish petrol station chain managing director kim wiio company wa forced make purchase rising price first half consumer price going almost daily due competition,negative,neutral
food sale totalled eur mn october representing decrease october,negative,positive
raute reported loss per share first half eps corresponding period,negative,positive
move wa triggered weak demand forestry equipment uncertain market situation,negative,neutral
situation coated magazine printing paper continue weak,negative,neutral
copper lead nickel also dropped hbos hbos plummeted penny saying,negative,neutral
strike finnair estimate incur net loss per day,negative,positive
earnings per share eps dropped eur eur,negative,positive
finnair passenger load factor measure number sold seat share available seat dropped percentage point september,negative,neutral
frost sold share million per share compared friday high low,negative,positive
glaston net profit third quarter dropped mln euro mln mln euro mln corresponding period,negative,positive
l net profit whole dropped eur million eur million,negative,positive
lassila tikanoja operating profit excluding imputed item second quarter wa year ago,negative,positive
net cash flow operating activity wa negative eur mn compared eur mn corresponding period,negative,positive
net cash operating activity wa negative eur mn compared eur mn,negative,positive
net sale eaten weak u dollar,negative,positive
nordic bank already write sizable loan latvia swedbank nordea dnb seb reporting combined loss excess billion period backdrop near economic meltdown latvia,negative,neutral
operating profit excluding item totaled eur mn eur mn corresponding period,negative,positive
operating profit excluding item totalled eur mn eur mn,negative,positive
operating profit excluding item totalled eur mn eur mn corresponding period,negative,positive
operating profit excluding item amounted eur mn eur mn,negative,positive
operating profit excluding item wa eur million compared eur million,negative,positive
relation city damaged comment mr ashley criticising city investor analyst cry baby,negative,neutral
swedbank share hardest hit swedish bank ongoing international financial crisis,negative,neutral
currency effect pct mln euro mln negative impact revenue,negative,positive
therefore company result remain weaker,negative,neutral
vaisala net profit third quarter dropped mln euro mln mln euro mln period,negative,positive
implementation program ha negative impact earnings mr meiklejohn said,negative,neutral
survey conducted taloustutkimus sampo life show company badly prepared losing key staff member,negative,neutral
agricultural newspaper maaseudun tulevaisuus reader representing decrease,negative,neutral
cash flow operation wa negative eur mn compared eur mn corresponding period,negative,positive
kone share dropped percent u helsinki,negative,neutral
eu commission said earlier fined thyssenkrupp united technology corp otis schindler ag kone oyj total mln eur alleged cartel activity lift market going back twelve year,negative,positive
yit lodged counter claim neste oil totaling primarily based work carried contract additional cost incurred due prolongation project,negative,neutral
stable outlook reflects nokia strong market position global mobile handset market strong cash flow generation conservative balance sheet said raab,positive,neutral
financing arrangement enable company ensure line treasury policy ha sufficient financial instrument disposal potential capital requirement,positive,neutral
delighted move say morna cowie double size current shop ha lovely feel,positive,neutral
long unprofitable period food division posted profitable result speaks healthier cost structure new approach business operation rihko said,positive,neutral
september finnish waste management recycling company lassila tikanoja expands operation russia introducing recently completed recycling plant city dubna near moscow,positive,neutral
tallink silja attribute significant drop problem booking system wa taken operation october sale trailer ferry sky wind route stockholm riga ha passenger route,negative,neutral
adjustment fall price level contrast ha less effective,negative,neutral
march goldman sachs estimate negative prospect norwegian mobile operation norway telenor asa osl tel sweden teliasonera ab sto tlsn short term,negative,neutral
based first quarter result existing order backlog new order prospect company expects sale contract gross margin stay healthy level operating profit margin lower due lower sale volume,negative,positive
key shareholder finnish service provider tietoenator oyj friday rejected hostile billion billion offer buyout shop nordic capital giving new life possible counter offer blackstone group lp norwegian telecom telenor asa,positive,neutral
helsinki thomson financial share closed little changed cargotec huhtamaki dropping sharply disappointing report,negative,neutral
airline estimated cancellation flight due closure european airspace process recommencing traffic caused company loss including cost stranded passenger accommodation,negative,neutral
ruukki group calculates ha lost eur failed project,negative,neutral
samsung currently occupies third place lost ground quarter dropping share overall,negative,neutral
baltimore police fire pension ha billion lost million madoff ponzi scheme,negative,neutral
small firm suffering moment likely money trouble added,negative,neutral
dealer said share wa largely hit investor disappointment refining margin usd per barrel quarter performance shipping unit saw ebit drop mln eur mln eur year amid fall volume tanker rate,negative,positive
making matter difficult company said ha grappling higher oil gas price pushed cost energy raw material transportation,negative,neutral
result also burdened increased fixed cost associated operation china restructuring cost japan,negative,neutral
part transaction sappi also signed agreement supply pulp bctmp smaller service supply,positive,neutral
earlier today geberit finnish rival uponor oyj cut sale growth forecast pct pct blaming tough condition germany u well currency factor,negative,positive
group operating loss wa eur mn profit eur mn,negative,positive
finnish national carrier said net loss april june wa million net profit million year earlier,negative,positive
net sale period expected fall well last year result item expected red,negative,positive
budapest august mti finnish electronics maker elcoteq lay worker plant pecs hungary end september falling order communication director elcoteq local unit zoltan krippl told mti monday,negative,neutral
earnings per share eps decreased,negative,positive
finnair subsidiary aero carried passenger decline route helsinki baltic capital within southern finland,negative,neutral
revenue quarter totaled billion percent billion fourth quarter,negative,positive
sampo bank market share lending wa first quarter,negative,neutral
finnish bank report operating profit eur mn first quarter eur mn corresponding period,negative,positive
finnish electronics contract manufacturer scanfil report net sale eur mn eur mn,negative,positive
finnish electronics contract manufacturer scanfil report net sale eur mn second quarter eur mn year earlier,negative,positive
finnish exel composite technology company design manufacture market composite profile tube various industrial application report net sale decreased second quarter eur mn eur mn corresponding period,negative,positive
cargo traffic fell tonne september,negative,neutral
cash flow investment amounted,negative,neutral
wa market leader manufacturer market share corresponding period,negative,positive
device volume area decreased mn unit,negative,neutral
diluted earnings per share eps declined eur eur,negative,positive
earnings per share eps amounted,negative,positive
earnings per share eps decreased,negative,positive
earnings per share eps first half amounted year ago,negative,positive
finnish business software group affectogenimap oyj said net profit halved mln euro mln first nine month mln euro mln period,negative,positive
finnish financial software solution developer basware oyj said net profit fell euro mln first quarter mln euro mln year earlier,negative,positive
finnish glass technology company glaston oyj abp net profit decreased mln euro mln first nine month mln euro mln period,negative,positive
finnish metal product company componenta oyj net profit went slightly mln euro mln first half mln euro mln period,negative,positive
separate announcement helsinki stock exchange atrium revealed company third quarter profit declined third quarter last year year,negative,positive
fourth quarter net sale decreased eur mn eur mn fourth quarter,negative,positive
insurer axa par c slid eur citigroup ing slashed target stock,negative,neutral
adp news feb finnish wood product technology supplier raute oyj hel rutav said today net profit decreased eur million usd eur million,negative,positive
adp news feb finnish construction company lemminkainen oyj hel said today net profit decreased eur million usd eur million,negative,positive
adp news feb finnish broadband data communication system solution company teleste oyj hel said today net profit decreased eur million usd eur million,negative,positive
adpnews may finnish cutlery hand tool maker fiskars oyj abp hel fisa said today net profit declined eur million usd first quarter eur million correspond,negative,positive
market share decreased route helsinki finland tallinn estonia percentage point,negative,neutral
net profit three month march fell million u million million year earlier finnish company said,negative,positive
orion net profit third quarter decreased mln euro mln mln euro mln year earlier,negative,positive
pretax profit totaled eur mn eur mn,negative,positive
price delivery volume broadband product decreased significantly,negative,neutral
profit period totalled eur mn eur mn corresponding period,negative,positive
profit period totalled eur mn eur mn third quarter,negative,positive
srv lowered net sale estimate whole due uncertainty housing sale,negative,positive
stora enso oyj said result would fall half compared period,negative,positive
company confirmed estimate lower revenue whole given interim report august,negative,neutral
fair value company investment property went eur billion end eur billion year earlier,negative,positive
fair value company investment property went bn end september bn year earlier,negative,positive
sale tiimari segment fell june,negative,neutral
finnish electronics contract manufacturer scanfil net sale eur mn first quarter eur mn year,negative,positive
alma medium operating profit amounted eur mn eur mn year earlier,negative,positive
commission income fell eur mn eur mn corresponding period,negative,positive
export declined percent million liter,negative,positive
export good fell import,negative,neutral
finnish developer manufacturer mobile phone charger salcomp plc omx helsinki wednesday november lowered net sale estimate,negative,neutral
finnish investment group norvestia oyj said net profit fell mln euro mln mln euro mln,negative,positive
group ebit first half wa u falling short posted period,negative,positive
however company saw net profit third quarter eur million eur million corresponding period,negative,positive
however company saw net profit third quarter corresponding period,negative,positive
however net sale declined eur million eur billion,negative,positive
sale volume market share ha decreased,negative,neutral
september alone market declined percent million liter,negative,positive
baltic country sale fell russia term euro term local currency,negative,neutral
nokia share hit euro friday percent start year part slow introduction model,negative,neutral
operating profit fourth quarter fell year earlier,negative,positive
operating profit totaled eur mn eur mn corresponding period,negative,positive
operating profit totaled eur mn eur mn corresponding period,negative,positive
operating profit totaled eur mn eur mn,negative,positive
operating profit totalled eur mn eur mn first quarter,negative,positive
operating profit totalled eur mn eur mn year earlier,negative,positive
operating profit totalled eur mn eur mn first half,negative,positive
operating profit totalled eur mn eur mn year,negative,positive
operating profit wa eur mn eur mn,negative,positive
profit period wa eur mn eur mn,negative,positive
revenue wa slightly million million compared million year earlier,negative,positive
sale seppala diminished per cent,negative,positive
talentum net sale september smaller expected,negative,positive
company profit totaled l,negative,positive
company said sale three month end march slid u last year,negative,positive
operating margin came,negative,positive
operating margin aker yard cruise ferry division went first quarter,negative,positive
total capital fund managed bank decreased eur end september,negative,neutral
yit baltic sale first three quarter totaled million euro representing drop percent year year,negative,positive
extremely delighted project continuation cooperation viking line,positive,neutral
demand fireplace product wa lower expected especially germany,negative,neutral
however order received period review fell eur million recorded second quarter,negative,positive
announcement pushed freenet share frankfurt trade investor gave hope united internet ag drillisch would pursue takeover breakup freenet,negative,neutral
according company addition normal seasonal fluctuation market situation ha weakened autumn,negative,neutral
change market situation tougher price competition substantially reduced demand bread packaging manufactured kauhava plant according company,negative,neutral
finnish suominen corporation make wipe nonwovens flexible packaging expects change market situation reduce sale suominen nonwovens wet wipe previously estimated volume,negative,positive
net sale whole fiscal year lower operating profit estimated negative,negative,positive
sale unit slumped last year industry wa hit poor snowfall major resort winter,negative,neutral
steelmaker said drop profit wa explained continuing economic uncertainty mixed current drought bank lending resulting decline demand product customer find increasingly difficult fund operation,negative,neutral
world largest maker magazine paper tuesday reported profit drop lower paper price higher cost strong euro hurt revenue,negative,positive
finnish meat company atrium longer promise sufficient amount domestic beef customer,negative,neutral
capital expenditure energy efficiency ha unfortunately fallen along decline economy,negative,neutral
due rapid decrease net sale personnel reduction carried wider scale initially expected,negative,neutral
finnish waste management cleaning group lassila tikanoja oyj l net profit went mln euro mln mln euro mln,negative,positive
external net sale printing business fell partly due termination printing contract printing house oy sector player hs medium ab december fall printing price,negative,neutral
sale ragutis controlled finnish brewery olvi declined percent million liter company held percent market,negative,positive
omx helsinki index wa pct turnover mln eur,negative,positive
repeat see operating profit reporting helsinki newsroom keywords,negative,positive
comparable operating profit totaled eur mn eur mn corresponding period representing net sale,negative,positive
baltic state company report net sale eur mn eur mn operative ebit eur mn eur mn,negative,positive
operating profit half glisten invested brand management team,negative,neutral
sale finland decreased international sale decreased term euro term local currency,negative,neutral
london marketwatch share price ended lower london monday rebound bank stock failed offset broader weakness ftse,negative,positive
sale finland decreased january sale outside finland dropped,negative,neutral
